detune(uW)	y_offset	x_offset(Hz)	width(Hz)	peak	slpoe	contrast
100	4.06093e-07	83.7552	801.241	-1.51271e-07	-0.07959	0.372504
200	5.44187e-07	135.956	1232.72	-2.03082e-07	-0.156901	0.373183
300	6.12038e-07	173.368	1595.01	-2.17887e-07	-0.19845	0.356002
400	6.52218e-07	201.21	1912.62	-2.21155e-07	-0.220792	0.339081
500	6.79001e-07	226.011	2208.18	-2.20325e-07	-0.0616603	0.324484
600	6.97874e-07	243.234	2471.68	-2.17963e-07	-0.0629777	0.312324
700	7.11936e-07	256.592	2713.13	-2.1512e-07	-0.0631885	0.302161
800	7.22796e-07	267.249	2937.73	-2.12161e-07	-0.0629126	0.293528
900	7.3143e-07	275.504	3145.79	-2.09335e-07	-0.0621072	0.286199
1000	7.38949e-07	285.61	3372.08	-2.06691e-07	-0.0148532	0.279709
