detune(uW)	y_offset	x_offset(Hz)	width(Hz)	peak	signal_ratio
100	1.09192e-08	1.48797	202.088	-5.18405e-11	0.00474763
200	2.18067e-08	1.50914	204.361	-2.05859e-10	0.00944017
300	3.26624e-08	1.53111	206.659	-4.59795e-10	0.0140772
400	4.3486e-08	1.55286	208.938	-8.11402e-10	0.0186589
500	5.42776e-08	1.57461	211.211	-1.25847e-09	0.0231859
600	6.50368e-08	1.59689	213.481	-1.7986e-09	0.0276551
700	7.57638e-08	1.61868	215.744	-2.42982e-09	0.0320711
800	8.64581e-08	1.64131	218.004	-3.14965e-09	0.0364298
900	9.71196e-08	1.66352	220.243	-3.9559e-09	0.0407323
1000	1.07749e-07	1.68647	222.508	-4.84664e-09	0.0449811
